0,1,2
A Cappella,spotify:user:particledetector:playlist:5Cji0P4yamcEy9pD6cWQgb,http://open.spotify.com/user/particledetector/playlist/5Cji0P4yamcEy9pD6cWQgb
Abstract,spotify:user:particledetector:playlist:4NgrKfsFNJTKwbsMfNKMXN,http://open.spotify.com/user/particledetector/playlist/4NgrKfsFNJTKwbsMfNKMXN
Accordion,spotify:user:particledetector:playlist:5ZDeCEsIFTCYtfA6aar95C,http://open.spotify.com/user/particledetector/playlist/5ZDeCEsIFTCYtfA6aar95C
Acid House,spotify:user:particledetector:playlist:6spctyydKOcZHjtOPqq0xv,http://open.spotify.com/user/particledetector/playlist/6spctyydKOcZHjtOPqq0xv
Acid Jazz,spotify:user:particledetector:playlist:3LocOLTYyiGrqiRMMnQw7S,http://open.spotify.com/user/particledetector/playlist/3LocOLTYyiGrqiRMMnQw7S
Acid Techno,spotify:user:particledetector:playlist:672HQT60MD5HCG0HsA3SmS,http://open.spotify.com/user/particledetector/playlist/672HQT60MD5HCG0HsA3SmS
Adult Standards,spotify:user:particledetector:playlist:4CiE2eXn5xJ5CUhmKPN3EW,http://open.spotify.com/user/particledetector/playlist/4CiE2eXn5xJ5CUhmKPN3EW
Afrobeat,spotify:user:particledetector:playlist:1TUgFEQuEiUFkSaWNmIf52,http://open.spotify.com/user/particledetector/playlist/1TUgFEQuEiUFkSaWNmIf52
Afrobeats,spotify:user:particledetector:playlist:78pWC7BArR9Mx9uwoXAC3F,http://open.spotify.com/user/particledetector/playlist/78pWC7BArR9Mx9uwoXAC3F
Aggrotech,spotify:user:particledetector:playlist:5gtoqHlkUoAhnBsiQOXruf,http://open.spotify.com/user/particledetector/playlist/5gtoqHlkUoAhnBsiQOXruf
Alternative CCM,spotify:user:particledetector:playlist:4JMphwuoeErmV1bGIfYYCt,http://open.spotify.com/user/particledetector/playlist/4JMphwuoeErmV1bGIfYYCt
Alternative Country,spotify:user:particledetector:playlist:6MdqVwbUAMHuAeqX0jz09h,http://open.spotify.com/user/particledetector/playlist/6MdqVwbUAMHuAeqX0jz09h
Alternative Dance,spotify:user:particledetector:playlist:1A2gajFy5iWaGGBrBBPO84,http://open.spotify.com/user/particledetector/playlist/1A2gajFy5iWaGGBrBBPO84
Alternative Hardcore,spotify:user:particledetector:playlist:781UAb4qyfpLOrz9J2sU71,http://open.spotify.com/user/particledetector/playlist/781UAb4qyfpLOrz9J2sU71
Alternative Hip Hop,spotify:user:particledetector:playlist:3Tc54JrEIM0PSFcnLsIgKA,http://open.spotify.com/user/particledetector/playlist/3Tc54JrEIM0PSFcnLsIgKA
Alternative Metal,spotify:user:particledetector:playlist:3YvedlV5GDjJlop4G2rAth,http://open.spotify.com/user/particledetector/playlist/3YvedlV5GDjJlop4G2rAth
Alternative Pop,spotify:user:particledetector:playlist:6N3hU0pAaTHOEHWO3ztRJe,http://open.spotify.com/user/particledetector/playlist/6N3hU0pAaTHOEHWO3ztRJe
Alternative R&B,spotify:user:particledetector:playlist:1l1qXlsRmwLD9AHbXWv7o4,http://open.spotify.com/user/particledetector/playlist/1l1qXlsRmwLD9AHbXWv7o4
Alternative Rock,spotify:user:particledetector:playlist:1lvnHXSYwtPmxNEOK4nwu8,http://open.spotify.com/user/particledetector/playlist/1lvnHXSYwtPmxNEOK4nwu8
Anarcho-Punk,spotify:user:particledetector:playlist:2tHoXLd7t9xjhet1K3y0tI,http://open.spotify.com/user/particledetector/playlist/2tHoXLd7t9xjhet1K3y0tI
Argentine Rock,spotify:user:particledetector:playlist:3IyoGm8A5EFKLgZciN8QkP,http://open.spotify.com/user/particledetector/playlist/3IyoGm8A5EFKLgZciN8QkP
Armenian Folk,spotify:user:particledetector:playlist:6BlmVErlKF7P25cuGP8YwR,http://open.spotify.com/user/particledetector/playlist/6BlmVErlKF7P25cuGP8YwR
Art Rock,spotify:user:particledetector:playlist:3RYskhCrO03OX20Rd8P6Y9,http://open.spotify.com/user/particledetector/playlist/3RYskhCrO03OX20Rd8P6Y9
Atmospheric Black Metal,spotify:user:particledetector:playlist:7ilpqegjelGR6trOTMQuT3,http://open.spotify.com/user/particledetector/playlist/7ilpqegjelGR6trOTMQuT3
Australian Hip Hop,spotify:user:particledetector:playlist:2dQBCyLQY3W0qIwyKBhJlB,http://open.spotify.com/user/particledetector/playlist/2dQBCyLQY3W0qIwyKBhJlB
Austropop,spotify:user:particledetector:playlist:3tyzcgPZCtLFlbwzkvSj0K,http://open.spotify.com/user/particledetector/playlist/3tyzcgPZCtLFlbwzkvSj0K
Avant-Garde Jazz,spotify:user:particledetector:playlist:0fKxcWT5OfYTfBjSPb6Gct,http://open.spotify.com/user/particledetector/playlist/0fKxcWT5OfYTfBjSPb6Gct
Axé,spotify:user:particledetector:playlist:6bRruRD07FqvmDq5nloWnQ,http://open.spotify.com/user/particledetector/playlist/6bRruRD07FqvmDq5nloWnQ
Azonto,spotify:user:particledetector:playlist:4bMHDh0iNjnN3mDilokqF3,http://open.spotify.com/user/particledetector/playlist/4bMHDh0iNjnN3mDilokqF3
Bachata,spotify:user:particledetector:playlist:7gNCVZ5IkLkANU7PEFI7ld,http://open.spotify.com/user/particledetector/playlist/7gNCVZ5IkLkANU7PEFI7ld
Baile Funk,spotify:user:particledetector:playlist:4QCBNog7J1jlBqBNnask50,http://open.spotify.com/user/particledetector/playlist/4QCBNog7J1jlBqBNnask50
Balearic,spotify:user:particledetector:playlist:1mcAl6S8OPAoMDs54eAKv7,http://open.spotify.com/user/particledetector/playlist/1mcAl6S8OPAoMDs54eAKv7
Balkan Brass,spotify:user:particledetector:playlist:7gkgO4O3pvJbiX3YkRpvip,http://open.spotify.com/user/particledetector/playlist/7gkgO4O3pvJbiX3YkRpvip
Barbershop,spotify:user:particledetector:playlist:0tDaziFLeFBzTQQ7OzJ5VT,http://open.spotify.com/user/particledetector/playlist/0tDaziFLeFBzTQQ7OzJ5VT
Baroque,spotify:user:particledetector:playlist:7AsF3bH35ghz6Ya8jLmXlE,http://open.spotify.com/user/particledetector/playlist/7AsF3bH35ghz6Ya8jLmXlE
Bassline,spotify:user:particledetector:playlist:3hvuE5F8lOusu1AWscg1k0,http://open.spotify.com/user/particledetector/playlist/3hvuE5F8lOusu1AWscg1k0
Beach Music,spotify:user:particledetector:playlist:0m3xiKvN3wUcyCEb4BTHjP,http://open.spotify.com/user/particledetector/playlist/0m3xiKvN3wUcyCEb4BTHjP
Bebop,spotify:user:particledetector:playlist:3GvUUl65PSXjsfqsgNDo7z,http://open.spotify.com/user/particledetector/playlist/3GvUUl65PSXjsfqsgNDo7z
Bemani,spotify:user:particledetector:playlist:1qiVhGwoUJNjM7ypRaslip,http://open.spotify.com/user/particledetector/playlist/1qiVhGwoUJNjM7ypRaslip
Bhangra,spotify:user:particledetector:playlist:6at3Pwo0uJxQVzSLKjF3TG,http://open.spotify.com/user/particledetector/playlist/6at3Pwo0uJxQVzSLKjF3TG
Big Band,spotify:user:particledetector:playlist:1btXEeYCeFk4rUuOZdhNNC,http://open.spotify.com/user/particledetector/playlist/1btXEeYCeFk4rUuOZdhNNC
Big Beat,spotify:user:particledetector:playlist:5xWkpyjQKaLA8M2Q7voB85,http://open.spotify.com/user/particledetector/playlist/5xWkpyjQKaLA8M2Q7voB85
Black Metal,spotify:user:particledetector:playlist:4HAfHiJiKXLT4GqHdHPcs0,http://open.spotify.com/user/particledetector/playlist/4HAfHiJiKXLT4GqHdHPcs0
Blues,spotify:user:particledetector:playlist:3Dw3neVGv5JuD1GwLcaqqg,http://open.spotify.com/user/particledetector/playlist/3Dw3neVGv5JuD1GwLcaqqg
Blues-Rock,spotify:user:particledetector:playlist:4aiT230RT1XPkwPPgQXWRK,http://open.spotify.com/user/particledetector/playlist/4aiT230RT1XPkwPPgQXWRK
Bolero,spotify:user:particledetector:playlist:6wIXz52BoNwxXuiqiIEtU2,http://open.spotify.com/user/particledetector/playlist/6wIXz52BoNwxXuiqiIEtU2
Boogaloo,spotify:user:particledetector:playlist:3B1vQUgt4r6rPTCgENIby4,http://open.spotify.com/user/particledetector/playlist/3B1vQUgt4r6rPTCgENIby4
Boogie-Woogie,spotify:user:particledetector:playlist:642fp1i1L9ZHPmxssEFoEH,http://open.spotify.com/user/particledetector/playlist/642fp1i1L9ZHPmxssEFoEH
Bossa Nova,spotify:user:particledetector:playlist:6uWTZiMIwLW4j511uHc7xI,http://open.spotify.com/user/particledetector/playlist/6uWTZiMIwLW4j511uHc7xI
Boston Rock,spotify:user:particledetector:playlist:5fOlMC8GtYFlV1CWMrgKle,http://open.spotify.com/user/particledetector/playlist/5fOlMC8GtYFlV1CWMrgKle
Boy Band,spotify:user:particledetector:playlist:2cTSmSLtypTTkIZ1Xjsoom,http://open.spotify.com/user/particledetector/playlist/2cTSmSLtypTTkIZ1Xjsoom
Brass Band,spotify:user:particledetector:playlist:6jP5gRCkKehKs3QndqakSv,http://open.spotify.com/user/particledetector/playlist/6jP5gRCkKehKs3QndqakSv
Breakbeat,spotify:user:particledetector:playlist:39uFDwxUXi34C4CXzhyuBI,http://open.spotify.com/user/particledetector/playlist/39uFDwxUXi34C4CXzhyuBI
Breakcore,spotify:user:particledetector:playlist:26zp5smksDu0ZbOhPGxyRR,http://open.spotify.com/user/particledetector/playlist/26zp5smksDu0ZbOhPGxyRR
Brill Building Pop,spotify:user:particledetector:playlist:0lo7JhWwUxvkEDubEyIPrr,http://open.spotify.com/user/particledetector/playlist/0lo7JhWwUxvkEDubEyIPrr
British Blues,spotify:user:particledetector:playlist:6wMGnUiQD1yf3G9Ft0f3rD,http://open.spotify.com/user/particledetector/playlist/6wMGnUiQD1yf3G9Ft0f3rD
British Dance Band,spotify:user:particledetector:playlist:3UqK3ejomxITxRvK9N0Mhn,http://open.spotify.com/user/particledetector/playlist/3UqK3ejomxITxRvK9N0Mhn
