city,spotify_link,spotify_web_link
's-hertogenbosch NL,spotify:user:thesoundsofspotify:playlist:05hbk3TBRfEne3xCIiI15m,http://open.spotify.com/user/thesoundsofspotify/playlist/05hbk3TBRfEne3xCIiI15m
A Coru�a ES,spotify:user:thesoundsofspotify:playlist:07FayhdVKT6UFmbQbuEywo,http://open.spotify.com/user/thesoundsofspotify/playlist/07FayhdVKT6UFmbQbuEywo
"APO Armed Forces Europe, Middle East, & Canada US",spotify:user:thesoundsofspotify:playlist:1kefW5zq9DbxjoUkkNBC30,http://open.spotify.com/user/thesoundsofspotify/playlist/1kefW5zq9DbxjoUkkNBC30
Aabenraa DK,spotify:user:thesoundsofspotify:playlist:6u7jfhRUNy54RbaGbfBotm,http://open.spotify.com/user/thesoundsofspotify/playlist/6u7jfhRUNy54RbaGbfBotm
Aabybro DK,spotify:user:thesoundsofspotify:playlist:00ogS46HmKPEHbdP7aop2h,http://open.spotify.com/user/thesoundsofspotify/playlist/00ogS46HmKPEHbdP7aop2h
Aachen DE,spotify:user:thesoundsofspotify:playlist:6BQO4yWoBUici1nAyUIK7a,http://open.spotify.com/user/thesoundsofspotify/playlist/6BQO4yWoBUici1nAyUIK7a
Aalen DE,spotify:user:thesoundsofspotify:playlist:5KJhou6kfdF4iFvpTR7e0f,http://open.spotify.com/user/thesoundsofspotify/playlist/5KJhou6kfdF4iFvpTR7e0f
Aalesund NO,spotify:user:thesoundsofspotify:playlist:3lX6oSWynH4J7G8UDe0Dlk,http://open.spotify.com/user/thesoundsofspotify/playlist/3lX6oSWynH4J7G8UDe0Dlk
Aalsmeer NL,spotify:user:thesoundsofspotify:playlist:7n92EAqUJ96K6iq4NoqA5t,http://open.spotify.com/user/thesoundsofspotify/playlist/7n92EAqUJ96K6iq4NoqA5t
Aarhus DK,spotify:user:thesoundsofspotify:playlist:5nASmEIS7vipRpLSrCuJKG,http://open.spotify.com/user/thesoundsofspotify/playlist/5nASmEIS7vipRpLSrCuJKG
Aars DK,spotify:user:thesoundsofspotify:playlist:7EtbKBZiVnCXnWHhNIwntw,http://open.spotify.com/user/thesoundsofspotify/playlist/7EtbKBZiVnCXnWHhNIwntw
Abbots Langley GB,spotify:user:thesoundsofspotify:playlist:5JAY9uWx5zpzrktVPIAShK,http://open.spotify.com/user/thesoundsofspotify/playlist/5JAY9uWx5zpzrktVPIAShK
Aberdeen GB,spotify:user:thesoundsofspotify:playlist:2Ok5dlgzR19tJb9sDmXCkT,http://open.spotify.com/user/thesoundsofspotify/playlist/2Ok5dlgzR19tJb9sDmXCkT
Absecon New Jersey US,spotify:user:thesoundsofspotify:playlist:5fKCktG4QJdTee67laO9ZP,http://open.spotify.com/user/thesoundsofspotify/playlist/5fKCktG4QJdTee67laO9ZP
Acapulco MX,spotify:user:thesoundsofspotify:playlist:0Hlj5HhUzQm9wwElcUU8mC,http://open.spotify.com/user/thesoundsofspotify/playlist/0Hlj5HhUzQm9wwElcUU8mC
Adelaide AU,spotify:user:thesoundsofspotify:playlist:6qYDvlWIe0UPPTnzxvQasD,http://open.spotify.com/user/thesoundsofspotify/playlist/6qYDvlWIe0UPPTnzxvQasD
Adrian Michigan US,spotify:user:thesoundsofspotify:playlist:0pBb2Wf22JwpoO40653BVe,http://open.spotify.com/user/thesoundsofspotify/playlist/0pBb2Wf22JwpoO40653BVe
Aguascalientes MX,spotify:user:thesoundsofspotify:playlist:71k2M7dWQYLqmcUFapcpO1,http://open.spotify.com/user/thesoundsofspotify/playlist/71k2M7dWQYLqmcUFapcpO1
Aix-en-provence FR,spotify:user:thesoundsofspotify:playlist:64yTkHbqeIpDeVIOqvOk86,http://open.spotify.com/user/thesoundsofspotify/playlist/64yTkHbqeIpDeVIOqvOk86
Akron Ohio US,spotify:user:thesoundsofspotify:playlist:5ANXMnncu0Y6RgWNCZCx5p,http://open.spotify.com/user/thesoundsofspotify/playlist/5ANXMnncu0Y6RgWNCZCx5p
Albertslund DK,spotify:user:thesoundsofspotify:playlist:6BgJoQwtSY1jlzFQN7ZRuz,http://open.spotify.com/user/thesoundsofspotify/playlist/6BgJoQwtSY1jlzFQN7ZRuz
Albuquerque New Mexico US,spotify:user:thesoundsofspotify:playlist:7m4LG5LciiTZFaOpFQrhd2,http://open.spotify.com/user/thesoundsofspotify/playlist/7m4LG5LciiTZFaOpFQrhd2
Alcal� De Guadaira ES,spotify:user:thesoundsofspotify:playlist:61OY1nXBUjMDJnJACtCFB2,http://open.spotify.com/user/thesoundsofspotify/playlist/61OY1nXBUjMDJnJACtCFB2
Alhambra California US,spotify:user:thesoundsofspotify:playlist:6SW2mlOp2YVjwCvx51Y29K,http://open.spotify.com/user/thesoundsofspotify/playlist/6SW2mlOp2YVjwCvx51Y29K
Alings�s SE,spotify:user:thesoundsofspotify:playlist:1ZPPx6NkzEPgURxVWMFLDf,http://open.spotify.com/user/thesoundsofspotify/playlist/1ZPPx6NkzEPgURxVWMFLDf
Alkmaar NL,spotify:user:thesoundsofspotify:playlist:7t2H7ZfvS5zQHaZZVnfS4e,http://open.spotify.com/user/thesoundsofspotify/playlist/7t2H7ZfvS5zQHaZZVnfS4e
Aller�d DK,spotify:user:thesoundsofspotify:playlist:7veqoLctR25yHDFoVqfDlG,http://open.spotify.com/user/thesoundsofspotify/playlist/7veqoLctR25yHDFoVqfDlG
Almere NL,spotify:user:thesoundsofspotify:playlist:2UOCEdWYkZLUQcyXJZPU4A,http://open.spotify.com/user/thesoundsofspotify/playlist/2UOCEdWYkZLUQcyXJZPU4A
Alpharetta Georgia US,spotify:user:thesoundsofspotify:playlist:2I0jW7vTy3bvPUSSQvLETz,http://open.spotify.com/user/thesoundsofspotify/playlist/2I0jW7vTy3bvPUSSQvLETz
Alphen Aan Den Rijn NL,spotify:user:thesoundsofspotify:playlist:1IkIRI6821IAI20r6ghVUJ,http://open.spotify.com/user/thesoundsofspotify/playlist/1IkIRI6821IAI20r6ghVUJ
Alta NO,spotify:user:thesoundsofspotify:playlist:14y2p0itssr2VHP3gzwiQJ,http://open.spotify.com/user/thesoundsofspotify/playlist/14y2p0itssr2VHP3gzwiQJ
Ames Iowa US,spotify:user:thesoundsofspotify:playlist:32fZQu37D5rbAgyeeIKBOL,http://open.spotify.com/user/thesoundsofspotify/playlist/32fZQu37D5rbAgyeeIKBOL
Amstelveen NL,spotify:user:thesoundsofspotify:playlist:3VSXFhZH8bUZzbdeC0665z,http://open.spotify.com/user/thesoundsofspotify/playlist/3VSXFhZH8bUZzbdeC0665z
Amsterdam NL,spotify:user:thesoundsofspotify:playlist:2ifz20E9OmNq4bwiM4Ljwu,http://open.spotify.com/user/thesoundsofspotify/playlist/2ifz20E9OmNq4bwiM4Ljwu
Anchorage Alaska US,spotify:user:thesoundsofspotify:playlist:0JVQy18o8hYsaWJMIHruCl,http://open.spotify.com/user/thesoundsofspotify/playlist/0JVQy18o8hYsaWJMIHruCl
Ancona IT,spotify:user:thesoundsofspotify:playlist:634weBTotAnHCrCq0ozIZP,http://open.spotify.com/user/thesoundsofspotify/playlist/634weBTotAnHCrCq0ozIZP
